text,filename,page_number,section,sub_category
In certain aspects the disclosure relates to a hyperimmunized egg product obtained from a hyperimmunized egg described herein.,gvhd-paper,4,summary of invention,
"In certain embodiments, the hyperimmunized egg product 1s whole egg.",gvhd-paper,4,summary of invention,
"In certain embodiments, the hypenmmunized egg product is egg yolk.",gvhd-paper,4,summary of invention,
"In certain embodiments, the hyperimmunized egg product is purified or partially purified IsY antibody to Enteracoccus faecalis cytolysin toxin.",gvhd-paper,4,summary of invention,
"In certain embodiments, the hyperimmunized egy product is purified or partially purified igY antibody to Enierecoceus faecalis.",gvhd-paper,4,summary of invention,
"In certain embodiments, the hypermmunized egg product consists of purfied or partially purified IzY antibody to Amerococcus faecalis and purified or partially purified igY antibody to Enterococcus faecalis cytolysin toxin.",gvhd-paper,4,summary of invention,
In certain aspects the disclosure relates to a pharmaceutical composition comprising the hyperimmunized egg product of any one of claims 14to 19 and a pharmaceutically acceptable carrier.,gvhd-paper,4,summary of invention,
"In certain embodiments, the composition comprises 3 to 10 grams of the whole egg.",gvhd-paper,4,summary of invention,
"In certain embodiments, the composition comprises 1 to 3 grams of the egg yolk.",gvhd-paper,4,summary of invention,
"In certain embodiments, the composition comprises 0.05 to 1 gram of the purified or partially purtfied Igy.",gvhd-paper,4,summary of invention,
"Tn certain embodiments, the pharmaceutical composition is formulated for oral administration.",gvhd-paper,5,summary of invention,
"In certain embodiments, the hyperimmunized egg product is formulated in nanoparticles or in an emulsion.",gvhd-paper,5,summary of invention,
"In certain embodiments, the pharmaceutical composition is formulated for intravenous administration.",gvhd-paper,5,summary of invention,
"in certain aspects the disclosure relates to a method of preparing a hyperimmunized egg product comprising: phyperimmunizing an egg-producing animal with an antigen selected from the group consisting of Laterococcus faecalis, isolated Lnterococcus faecalis cytolysin toxin, and Knferococcus faeciunr, and 11) preparing a hyperimmunized egg product from one or more eges produced by the amimal.",gvhd-paper,5,summary of invention,
"In certain embodiments, the antigen is selected trom the group consisting of isolated Anierecoccus faecalis cytolysin toxin, and fnterococcus faecium.",gvhd-paper,5,summary of invention,
"in certain embodiments, the antigen is selected from the group consisting of Enterococcus faecalis and isolated Enterococcus faecalis cytolysin toxin.",gvhd-paper,5,summary of invention,
"[n certain embodiments, the antigen comprises Hnterococcus faecalis and isolated Knterococeus faecalis eytolysin toxin, In certain embodiments, the egg-producing animal is a chicken.",gvhd-paper,5,summary of invention,
"A method for preventing or treating alcoholic liver disease in a subject in need thereof, comprising administering to the subject a therapeutically effective amount of a hyperimmunized egg product obtained from an egg-producing animal, thereby preventing or treating the alcoholic liver disease in the subject, wherein the hyperimmunized egg product comprises a therapeutically effective amount of one or more antibodies to an antigen selected from the group consisting of Enterococcus faecalis and Enterococcus faecalis cytolysin toxin.",gvhd-paper,35,claims,
"A method for preventing or treating graft-versus-host disease in a subject in need thereof, comprising administering to the subject a therapeutically effective amount of a hyperimmunized egg product obtained from an egg-producing animal, thereby preventing or treating the graft-versus-host disease in the subject, wherein the hyperimmunized egg product comprises a therapeutically effective amount of one or more antibodies to an antigen selected from the group consisting of Interococcus jaecalis, fuiterococcus faecalis cytolysin toxin, and /aterococcus faeciuin.",gvhd-paper,35,claims,
"The method of claim 1 or 2, wherein the hyperimmunized egg product comprises a therapeutically effective amount of one or more antibodies to Enterecoecus faecalis, and a therapeutically effective amount of one or more antibodies to Lvlerecoccus faecalis cytoly sin toxin.",gvhd-paper,35,claims,
"The method of any one of claims 1 to 3, further comprising hyperimmunizing the egg-producing animal with an antigen selected from the group consisting of Enterococcus faecalis, isolated Emierococcus joecalis cytolysin toxin, and Aateroceccus faecium.",gvhd-paper,35,claims,
"The method of claim 4, further comprising collecting a hyperimmunized egg from the egg-producing animal that has been hyperimmunized, and preparing a hyperimmunized egg product from the hyperimmunized egg.",gvhd-paper,35,claims,
"The method of any one of claims 1 to 5, wherein the hyperimmunized egg product comprises at least 20% more by weight of an IgY antibody specific to an antigen selected from the group ...",gvhd-paper,35,claims,
"consisting of Aimerococeus faecalis, Knterococcus faecalis cytolysin toxin, and Hnterococcus jaecium relative to a control egs product obtained from an egg-producing animal that is not hyperimmunized.",gvhd-paper,36,claims,
"7. The method of any one of claims | to 6, wherein the hyperimmunized egg product is administered to the subject | to 4 times per day.",gvhd-paper,36,claims,
"8. The method of any one of claims | to 7, wherein the hyperimmunized egg product is administered orally or intravenously.",gvhd-paper,36,claims,
"9. The method of any one of claims | to 8, wherein administration of the hyperimmunized ege product to the subject reduces the level of faferecoccus faecatis in the subject relative to a subject that 1s not administered the hyperimmunized ege product.",gvhd-paper,36,claims,
"10. The method of any one of claims | and 3 to 9, wherein administration of the hypertmmunized egg product to the subject reduces liver mmjury in the subject relative to a subtect that 1s not administered the hyperimmunized egg product.",gvhd-paper,36,claims,
"{1. The method of any one of claims 1 to 10, wherein the subject is a human.",gvhd-paper,36,claims,
"12. A hyperimmunized egg produced by an animal that has been hyperirmunized with an antigen selected from the group consisting of Enterococcus faecalis, isolated Enterococcus faecalis cytolysin toxin, and Avderococcus faecium, wherein the level of antibodies to the antigen in the hyperimmunized egg is increased relative to an egg from an animal that bas not been hyperimmunized,",gvhd-paper,36,claims,
"13. The hyperimmunized egg of claim 12, wherein the animal has been hypertmmunized with Enterecoccus faecalis and isolated Enterococcus faecalis cytolysin toxin, and wherein the level of",gvhd-paper,36,claims,
[4. A hyperimmunized egg product obtained from the hyperimmunized egg of claim 12 or 13.,gvhd-paper,37,claims,
"15. The hyperimmumzed ess product of claim 14, wherein the hyperummunized egg product is whole egg.",gvhd-paper,37,claims,
"[6. The hyperrmmunized egg product of claim 14, wheretn the hyperimmunized egg product is egg yolk.",gvhd-paper,37,claims,
"17. The hyperinimunized egg product of claim 14, wherein the hyperimmunized egg product is purified or partially purified Ig¥ antibody to Anterecoccus faecalis cytolysin toxin.",gvhd-paper,37,claims,
"18. The hyperimmunized egg product of claim 14, wherein the hyperimmunized egg product is purified or partially purified Ig ¥ antibody to Mnierococeus jaecalis.",gvhd-paper,37,claims,
"19. The hyperimmunized egg product of claim 14, wherein the hyperimmunized egg product consists of purified or partially purified IgV antibody to /nterococcus faecalis and purified or partially purified IgY antibady to Enterococcus jaecalis cytalysin toxin.",gvhd-paper,37,claims,
20. A pharmaceutical composition comprising the hyperimmunized egg product of any one of claims 14 to 19 and a pharmaceutically acceptable carrier.,gvhd-paper,37,claims,
"21. The pharmaceutical composition of claim 20, wherein the composition comprises 3 to 19 grams of the whole egg.",gvhd-paper,37,claims,
"22. The pharmaceutical composition of claim 20, wherein the composition comprises 1 ta 3 grams of the egg yolk.",gvhd-paper,37,claims,
"23, The pharmaceutical composition of claim 20, wherein the composition comprises 0.05 to 1 gram of the purified or partially purified igY.",gvhd-paper,38,claims,
24. The pharmaceutical composition of claim 20 formulated for oral administration.,gvhd-paper,38,claims,
"25. The pharmaceutical composition of claim 24, wherein the hyperimmunized egg product is formulated in nanoparticles or in an emulsion.",gvhd-paper,38,claims,
26. The pharmaceutical composition of claim 20 formulated for intravenous administration.,gvhd-paper,38,claims,
"27. A method of preparing a hyperimmunized egg product comprising: hyperimmunizing an egg-producing animal with an antigen selected from the group consisting of Enterococcus faecalis, isolated Enterococcus faecalis cytolysin toxin, and Enterococcus faecium, and preparing a hyperimmunized egg product from one or more eggs produced by the animal.",gvhd-paper,38,claims,
"28. The method of claim 27, wherein the antigen is selected from the group consisting of isolated Enterococcus faecalis cytolysin toxin, and Enterococcus faecium.",gvhd-paper,38,claims,
"29. The method of claim 27, wherein the antigen is selected from the group consisting of Enterococcus faecalis and isolated Enterococcus faecalis cytolysin toxin.",gvhd-paper,38,claims,
"30. The method of claim 27, wherein the antigen comprises Enterococcus faecalis and isolated Enterococcus faecalis cytolysin toxin.",gvhd-paper,38,claims,
"31. The method of any one of claims 27 to 30, wherein the egg-producing animal is a chicken.",gvhd-paper,38,claims,
"In a particular embodiment, the egg product is an egg yolk, for example, an egg yolk powder.",gvhd-paper,7,detailed description,product composition
"In another embodiment, the egg product is an egg white, for example, an egg white powder.",gvhd-paper,7,detailed description,product composition
"In another embodiment, the egg product is obtained from a whole egg, for example, a whole egg powder (e.g. a spray-dried whole egg powder).",gvhd-paper,7,detailed description,product composition
"In certain embodiments, the hyperimmunized egg product is a concentrate.",gvhd-paper,7,detailed description,product composition
"In some embodiments, the egg powder is spray-dried.",gvhd-paper,7,detailed description,product composition
"In a particular embodiment, the antibody is a polyclonal antibody.",gvhd-paper,8,detailed description,product composition
"In a particular embodiment, the antibody is an IgY antibody.",gvhd-paper,8,detailed description,product composition
It was demonstrated that treatment with bacteriophages that lyse cytolysin‐positive Enterococcus faecalis decreases cytolysin levels in the liver and prevents the progression of ethanol-induced liver disease in humanized mice.,gvhd-paper,11,detailed description,disease rationale
"In certain aspects, the present disclosure relates to a method of preparing a hyperimmunized egg product comprising: 1) hyperimmunizing an egg-producing animal with an antigen selected from the group consisting of Anterococcus faecalis, isolated Enterococcus faecalis cytolysin toxin, and nierococcus faecinnr, and 2) preparing a hyperimmunized egg product from one or more eggs produced by the animal. In some embodiments, the antigen is selected from the group consisting of Enterococcus jaecalis and isolated Enterococcus faecalis cytolysin toxin. In some embodiments, the antigen comprises Kurerococcus faecalis and isolated Fpteroceccus faecalis cytolysin toxin.",gvhd-paper,14,detailed description,product composition
"In some embodiments, the hyperimmunized egg product has higher levels of IgY antibodies to Anteroceccus Jaecutis and/or isolated Knterococcus juecalis cytolysin toxin relative to a chicken that has been immunized with Enterococcus jaecalis and/or Enterococcus faecalis cytolysin toxin using standard immunization techniques.",gvhd-paper,15,detailed description,product composition
"In some embodiments, hyperimmunization comprises at least 4, 5, 6, 7, 8, 9 or 10 immunizations with Enterococcus faecium, Enterococcus faecalis and/or Enterococcus faecalis cytolysin toxin as described herein.",gvhd-paper,15,detailed description,product composition
"In some embodiments, hyperimmunization comprises immunizing an egg producing animal with Exteroceccus faecium, Enterococcus jaecatis and/or isolated Enterococcus faecalis cytolysin toxin described herein at intervals of less than 30 days, less than 25 days, less than 20 days, less than 15 days, less than 10 days, or less than 5 days.",gvhd-paper,15,detailed description,product composition
"In a particular embodiment, the egg-producing animal is a chicken.",gvhd-paper,15,detailed description,product composition
"In some embodiments, the dosage of the booster is 20%-80%, 30%-70%, or 50%-100% of the dosage necessary to produce primary immunization of the egg-producing animal.",gvhd-paper,16,detailed description,product composition
"In a particular embodiment, the dosage of the booster immunization is 50% of the dosage of the primary immunization.",gvhd-paper,16,detailed description,product composition
"In some embodiments, the antigens for hyperimmunization comprise one or more of fanerococcus jaecuim, tinterococcus faecalis and loaterococcus jaecalis cytolysin toxin.",gvhd-paper,16,detailed description,product composition
"In some embodiments, the egg producing animal is hyperimmunized only with Avterococcus faecalis (i.e. no additional antigens are used for hyperimmunization).",gvhd-paper,16,detailed description,product composition
"In some embodiments, the egg producing animal is hyperimmunized only with isolated Aaferococcas faecalis cytolysin toxin.",gvhd-paper,16,detailed description,product composition
"In some embodiments, the egg producing animal is hyperimmumized only with Aaterococcus faecium.",gvhd-paper,16,detailed description,product composition
"In some embodiments, a hyperimmunized egg product comprising antibodies to Enierococcus faecalis is prepared by hyperimmunizing an egg producing animal with Enierococcus joecalis.",gvhd-paper,16,detailed description,product composition
"In some embodiments, a hyperimmunized egg product comprising antibodies to Kuterococcus jaecalis cytolysin toxin is prepared by hyperimmunizing an egg producing animal with /nterococecus faecalis cytolysin toxin.",gvhd-paper,16,detailed description,product composition
"In some embodiments, a hyperimmunized egg product comprising antibodies to Anterococcus faecium is prepared by hyperimmunizing an egg producing animal with Lnferecoceus faecium.",gvhd-paper,16,detailed description,product composition
"In some embodiments, the sgg-producing animal is hyperimmunized with Enterococcus jaectum and Enteroceccus faecalis.",gvhd-paper,17,detailed description,product composition
"in some embodiments, the egg-producing animal is hyperimmunized with Aaterococcus faecium and isolated Lrterococcus faecalis cytolysin toxin.",gvhd-paper,17,detailed description,product composition
"In some embodiments, the egg-producing animal 1s hyperrmmunized with Enterococcus foecalis and isolated Enterococcus faecalis cytolysin toxin.",gvhd-paper,17,detailed description,product composition
"In some embodiments, the egg-producing animal is immunized with Lrferococcus Jaecaits,",gvhd-paper,17,detailed description,product composition
"In some embodiments, the egg-producing animal is immunized with Enterococcus faecalis cytolysin toxin.",gvhd-paper,17,detailed description,product composition
"In some embodiments, the egg producing anmal is hyperimmunized with Anterococeus faecium.",gvhd-paper,17,detailed description,product composition
"In some embodiments, the egg producing animal is hyperimmunized with two or more of aterococcus jaecium, Enterococcus faecalis and Enterococcus faecalis cytolysin toxin.",gvhd-paper,17,detailed description,product composition
"In a particular embodiment, an antigen (e.g. Auleracoccus faecium, Malerecoccus faecalis and/or Enferococcus faecalis cytolysin toxin) is formulated into a Freund's vaccine. In the first vaccination, the egg-producing animal receives two 0.5 ml doses of each antigen. Two weeks later, one 0.5 ml dose of each antigen is administered to the egg-producing animal as a booster vaccination. An additional booster vaccination is performed 4 weeks after the first vaccination. The vaccines may be administered to breast tissue.",gvhd-paper,18,detailed description,product composition
"In some embodiments, the hyperrmmunized egg product comprises antibodies to Enterococcus faecium.",gvhd-paper,19,detailed description,product composition
"In certain embodiments, the hyperimmunized egg product comprises antibodies to Knterococcus jaecalis.",gvhd-paper,19,detailed description,product composition
"In some embodiments, the hyperimmunized egg product comprises antibodies to Anterococcus faecalis cytolysin toxin. The antibodies to Anlerococeus faecalis cytolysin toxin may bind to and neutralize the toxin.",gvhd-paper,19,detailed description,product composition
"In some embodiments, the hyperimmunized egg product comprises antibodies to Anferocaccus faecalis cytolysin toxin and antibodies to at least one additional Enterococcus faecalis antigen that is not Enteracoccus feecalis cytolysin toxin.",gvhd-paper,19,detailed description,product composition
"In a particular embodiment, the antibody is an leY antibody.",gvhd-paper,19,detailed description,product composition
"For example, in some embodiments the hyperimmunized egg or hyperimmunized egg product contains an increased level of an antibody that is specific to Avterococcus faecalis relative to a control egg or egg product obtained from an egg-producing animal that is not hyperimmunized.",gvhd-paper,19,detailed description,product composition
"In some embodiments, the hyperimmunized egg or hyperimmunized egg product contains an increased level of an antibody that is specific to Enterococcus faecalis cytalysin toxin relative to a control egg or egg product obtained from an egg-producing animal that is not hyperimmunized.",gvhd-paper,19,detailed description,product composition
"In some embodiments, the hyperrmmunized egg or hyperummunized egg product contains an increased level of an antibody that is specific to Eyerecoccus faecium relative to a control egg or egg product obtained from an egg-producing animal that is not hyperimmunized.",gvhd-paper,19,detailed description,product composition
"In some embodiments, the hyperimmunized egg or egg product comprises at least 10%, 20%, 30%, 40%, 50%, 100%, 200%, 300%, 400% or 500% more antibody (e.g., IgY antibody) specific for a particular antigen disclosed herein (for example Enterococcus faecium, Enterococcus faecalis or Fnterococcus faecalis cytelysin toxin) by weight relative to a control egg or control egg product obtained from an egg-producing animal that is not hyperrmmunized with the particular antigen.",gvhd-paper,19,detailed description,product composition
"In some embodiments, the hyperimmunized egg or hyperimmunized egg product comprises 300%, 400% or 500% more antibody (e.g. IgY antibody) specific to Enterococcus faecalis relative to a control egg or control egg product obtained from an egg‐producing animal that is not hyperimmunized with Enterococcus faecalis.",gvhd-paper,20,detailed description,product composition
"In some embodiments, the hyperimmunized egg or hyperimmunized egg product comprises at least 10%, 20%, 30%, 40%, 50%, 100%, 200%, 300%, 400% or 500% more antibody (e.g. IgY antibody) specific to Enterococcus faecalis cytolysin toxin relative to a control egg or control egg product obtained from an egg‐producing animal that is not hyperimmunized with Enterococcus faecalis cytolysin toxin.",gvhd-paper,20,detailed description,product composition
"In some embodiments, the hyperimmunized egg or hyperimmunized egg product comprises at least 10%, 20%, 30%, 40%, 50%, 100%, 200%, 300%, 400% or 500% more antibody (e.g. IgY antibody) specific to Enterococcus faecium relative to a control egg or control egg product obtained from an egg‐producing animal that is not hyperimmunized with Enterococcus faecium.",gvhd-paper,20,detailed description,product composition
"For example, in some embodiments the hyperimmunized egg or hyperimmunized egg product contains an increased level of one or more antibodies that are specific to Enterococcus faecalis cytolysin toxin and one or more antibodies that are specific to Enterococcus faecalis (e.g., one or more antibodies that are specific to an Enterococcus faecalis antigen other than Enterococcus faecalis cytolysin toxin) relative to a control egg or egg product obtained from an egg‐producing animal that is not hyperimmunized.",gvhd-paper,20,detailed description,product composition
"In some embodiments, the hyperimmunized egg or hyperimmunized egg product contains an increased level of an antibody that is specific to Enterococcus faecalis cytolysin toxin and an increased level of an antibody that is specific to Enterococcus faecium relative to a control egg or egg product obtained from an egg‐producing animal that is not hyperimmunized.",gvhd-paper,20,detailed description,product composition
"In some embodiments, the hyperimmunized egg or hyperimmunized egg product contains an increased level of an antibody that is specific to Enterococcus faecium and an increased level of an antibody that is specific to Enterococcus faecalis relative to a control egg or egg product obtained from an egg‐producing animal that is not hyperimmunized.",gvhd-paper,20,detailed description,product composition
"In some embodiments, the hyperimmunized egg or hyperimmunized egg product comprises at least 10%, 20%, 30%, 40%, 50%, 100%, 200%, 300%, 400% or 500% more antibody to Anterococcus jaecalis, and at least 10%, 20%, 30%, 40%, 50%, 100%, 200%, 300%, 400% or 500% more antibody to Lnterococcus faecium relative to a control egg or control egg product obtained from an egg-producing animal that is not hyperimmunized with /uterococcus faecalis or Enterococcus faecium.",gvhd-paper,21,detailed description,product composition
"In some embodiments, the hyperimmunized egg or hyperimmunized egg product comprises at least 10%, 20%, 30%, 40%, 50%, 100%, 200%, 300%, 400% or 500% more antibody to Kvterececcus faecalis cytclysin toxin, and at least 10%, 20%, 30%, 40%, 50%, 100%, 200%, 300%, 400% or 500% more antibedy to Anferecoccus faecium relative to a control egg or control egg product obtained from an egg-producing animal that is not hyperimmunized with Lateraceccus jaecalis cytolysin toxin or Enterococcus faecium.",gvhd-paper,21,detailed description,product composition
"In some embodiments, the hyperimmunized egg or hyperimmunized egg product comprises at least 10%, 20%, 30%, 40%, 50%, 100%, 200%, 300%, 400% or 500% more antibody to Enterococcus faecalis, at least 10%, 20%, 30%, 40%, 50%, 100%, 200%, 300%, 400% or 500% more antibody to Enterococcus faecalis cytolysin toxin, and at least 10%, 20%, 30%, 40%, 30%, 100%, 200%, 300%, 400% or 500% more antibedy to Liveroceccus faecium relative to a control egg or control egg product obtained from an egg-producing animal that is not hyperimmunized with Enterococcus faecalis, Enterococcus faecalis cytolysin toxin or Enterococcus faecium.",gvhd-paper,21,detailed description,product composition
"For example, in one embodiment, eggs are collected and the antibody titers are monitored by ELISA at regular intervals. To determine antibody titers, total IgY is extracted from eggs using a commercial kit, followed by purification, reconstitution of spray dried egg powder samples in sterile PBS, filtration, and measurement of specific antibody titers by ELISA.",gvhd-paper,21,detailed description,product composition
"In some embodiments, the antibody titer (e.g., titer of antibodies to Enterococcus faecalis cytolysin toxin, Aterococcus faecalis, and/or Fiderococcus faecium) in the hyperimmunized egg product is at least 1000, at least 2000, at least 4000, at least 8000, at least 16,000, at least 32,000, at least 64,000, at least 100,000, at least 128,000, at least 250,000, at least 500,000, or at least 1 million, 2 million, 3 million, 4 million, 5 million, 6 million, 7 million, 8 million, 9 million, 10 million, 11 million, 12 mullion, 12 muailion, 14 million, 15 million, 16 milion, 17 million, 18 million, 19 million, or 20 million.",gvhd-paper,22,detailed description,product composition
"In a particular embodiment, the antibody titer (e.g., titer of antibodies to Amterococcus faecalis cytolysin toxin, Hnerococcus faecalis, and/or Enierococcus faecium) in the hyperimmunized egg product is at least 16,000.",gvhd-paper,22,detailed description,product composition
"In a further particular embodiment, the titer of antibodies to Enterococcus faecalis cytolysin toxin and the titer of antibodies to Enterococcus jaecalis in the hyperimmunized egg product is at least 16,000.",gvhd-paper,22,detailed description,product composition
"In some embodiments, the hyperimmunized egg or egg product comprises at least 0.0001%, 0.0005%, 0.001%, 0.005%, 0.01%, 0.05%, or 0.1% by weight of an IgY antibody to a specific antigen (for example, an Anlerococcus faecnun antigen, an Laferococeus jaecalis antigen, or a Materococcus faecalis cytolysin toxin).",gvhd-paper,22,detailed description,product composition
"In some embodiments, 3 grams of egg yolk contains approximately 20-30 milligrams of total IgY, such that a whole egg contains about 150-200 mg total IgY.",gvhd-paper,23,detailed description,product composition
"In some embodiments, at least 1%, 2%, 3%, 4%, 5%, 6%, 7%, 8%, 9%, 10%, 11%, 12%, 13%, 14%, 15%, 16%, 17%, 18%, 19%, 20%, 25% or 30% of the total IgY in the hyperimmunized egg or egg product is specific to one of the antigens used for hyperimmunization (e.g., Haderococcus faecium, Enterococcus faecalis or isolated Enterococcus faecalis cytolysin toxin).",gvhd-paper,23,detailed description,product composition
"In certain aspects, the present disclosure relates to a method for preventing or treating alcoholic liver disease in a subject in need thereof, comprising administering to the subject a therapeutically effective amount of a hyperimmunized egg product obtained from an egg-producing animal, thereby preventing or treating the alcoholic liver disease, wherein the hyperimmunized egg product comprises a therapeutically effective amount of one or more antibodies to an antigen selected from the group consisting of Katerocoecus faccalis and interococcus faecalis cytolysin toxin. In some embodiments, the hyperimmunized egg product comprises a therapeutically effective amount of one or more antibodies to Enterococcus faecalis cytolysin toxin and one or more antibodies to Enterococcus faecalis. In some embodiments, the antibodies to Hnterococcus jaecatis include antibodies to one or more Enterococcus faecalis antigens that are not Enterococcus faecalis cytolysin toxin.",gvhd-paper,23,detailed description,product composition
"In certain aspects, the present disclosure relates to a method for preventing or treating graft-versus-host disease in a subject in need thereof, comprising administering to the subject a therapeutically effective amount of a hyperimmunized egg product obtained from an egg-producing animal, thereby preventing or treating graft-versus-host disease, wherein the hyperimmunized egg product comprises a therapeutically effective amount of one or more antibodies to an antigen selected from the group consisting of Eaterococcus faecalis, Enterecoccus faecalis cytolysm toxin, and Enterococcus jaecium. Once the egg-producing animals have been sufficiently hyperimmunized, it is preferred that the eggs from these animals are collected and processed to produce a hyperimmunized egg product in administrable form. The hyperimmunized egg product may be prepared by dehydration, spray drying, or freeze drying of whole egg, yolk, or purified IgY fraction.",gvhd-paper,23,detailed description,product composition
"Embodiment 1: The hyperimmunized egg product may be mixed with an agent such as silicon or silicon derivatives that improves flow properties and may comprise a desiccant. In this embodiment, the hyperimmunized egg product can be stored at ambient temperature or refrigerated (e.g., at 4 °C).",gvhd-paper,24,detailed description,product composition
"Embodiment 2: In some embodiments, administration of the hyperimmunized egg product to a subject reduces the level of Enterococcus faecalis in the subject relative to baseline or a subject not administered the product. Additionally, administration may reduce liver injury (e.g., indicated by reduced serum levels of alanine aminotransferase, ALT) compared to before administration or to a subject not administered the product.",gvhd-paper,24,detailed description,disease rationale
"Embodiment 3: In some embodiments, the hyperimmunized egg product is encapsulated. The disclosure describes that methods of encapsulating antibodies and other proteins are known, employing biodegradable and nonantigenic encapsulating materials such as albumin, PLGA, globulin, natural and synthetic polymers, and thermoplastic polymers. Crosslinking agents, for example glutaraldehyde, may be used to crosslink the encapsulating material.",gvhd-paper,24,detailed description,product composition
"Embodiment 4: In some embodiments, the hyperimmunized egg product is provided in the form of a microparticle or nanoparticle, such as an encapsulated microparticle or encapsulated nanoparticle. These particles may be of various shapes (spherical, flakes, triangles, rods, polygons, etc.) with the microparticles potentially having a diameter ranging from about 0.1 up to about 16 microns (with various subranges provided).",gvhd-paper,24,detailed description,product composition
"Embodiment relating to particle size: In some embodiments, larger microparticles or particles may be used. For example, the microparticles may have a diameter ranging from 10 microns to 1000 microns. In certain embodiments, the nanoparticles have a diameter of less than 1000, 900, 800, 700, 600, 5G0, 400, 300, 200, 190, or 16m. Any of these values may be used to define a range for the diameter of the nanoparticle. For example, the diameter of the nanoparticle may be from about 10 to about 1000 nm, from about 100 to about 1000 nm, or from about 10 to about 100 nm.",gvhd-paper,25,detailed description,product composition
"Embodiment relating to concentrated IgY antibody administration: In some embodiments, the IgY antibody specific for an antigen disclosed herein (e.g., Enterococcus faecium, Enterococcus faecalis or Enterococcus faecalis cytolysin toxin) is administered to the subject in a concentrated form. For example, in some embodiments, the IgY antibody is purified and concentrated before administration to the subject.",gvhd-paper,25,detailed description,product composition
"Embodiment relating to hyperimmunized egg product composition (1): In some embodiments, the hyperimmunized egg product comprises or consists of purified or partially purified IgY antibody to Enterococcus jaecalis cytolysin toxin.",gvhd-paper,25,detailed description,product composition
